userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (2687,0.7867037057876587) (261,0.6922585368156433) (1125,0.6110833287239075) (1057,0.5951187014579773) (318,0.575461208820343) (708,0.5592771172523499) (2870,0.5332530736923218) (1654,0.5178988575935364) (2110,0.5073267817497253) (2124,0.4916037619113922) (920,0.4803987741470337) (2245,0.4681268334388733) (492,0.46188873052597046) (1643,0.4594762325286865) (2132,0.45333197712898254) (1290,0.4490864872932434) (2141,0.44360020756721497) (915,0.44146668910980225) (2083,0.4350317716598511) (2762,0.43454471230506897)*
13: (2762,0.6907504796981812) (1573,0.6138588190078735) (2687,0.5966519117355347) (527,0.5856423377990723)* (527,0.5856423377990723)* (2628,0.5612295269966125) (2858,0.5566630363464355) (648,0.5502357482910156) (1909,0.5226166248321533) (356,0.5140700340270996) (1240,0.5044990181922913) (748,0.4884057641029358) (2989,0.4881569445133209) (858,0.48393356800079346) (1291,0.46790504455566406)* (2294,0.4536070227622986) (2294,0.4536070227622986) (3701,0.4524049162864685) (185,0.4508533477783203) (1019,0.4500317871570587)
14: (2858,0.6293763518333435) (1186,0.5788629055023193) (1131,0.5752969980239868) (3011,0.5728792548179626) (1132,0.5664305686950684) (1423,0.5557085871696472) (2132,0.5464147329330444) (3224,0.5167690515518188) (2065,0.5121393203735352) (850,0.5097432732582092) (1949,0.5082492232322693) (1058,0.5073612928390503) (3038,0.5067694783210754) (1251,0.49949347972869873) (2075,0.4981954097747803) (492,0.49305135011672974) (1082,0.4929499924182892) (1176,0.4928528666496277) (3047,0.48902860283851624) (272,0.48618027567863464)
15: (1476,0.6640715599060059) (3285,0.6285701394081116) (1573,0.5633959770202637) (225,0.5613742470741272) (356,0.5586310029029846)* (3578,0.5568190813064575)* (1459,0.5518919825553894) (3252,0.5495748519897461) (999,0.5424144864082336) (3502,0.5416425466537476) (1661,0.5397111773490906) (708,0.5392638444900513) (289,0.537767767906189) (2297,0.5324121713638306) (350,0.5321635007858276) (318,0.5316964387893677)* (2269,0.5189183950424194) (3835,0.511104941368103) (3249,0.5101378560066223) (3453,0.5095938444137573)
16: (3285,0.5899151563644409) (2485,0.5787961483001709) (3453,0.5540195107460022) (2546,0.5486866235733032) (2694,0.5199563503265381) (2716,0.5188583135604858) (2771,0.516209602355957) (2392,0.5136125683784485) (2574,0.498565673828125) (2491,0.495501846075058) (2906,0.48565876483917236) (3824,0.48318716883659363) (2605,0.48288586735725403) (3408,0.47861719131469727) (3408,0.47861719131469727) (2433,0.4736235439777374) (3565,0.4673170745372772) (3179,0.46698805689811707) (3554,0.457390159368515) (2720,0.4547564387321472)
17: (373,0.5311976671218872) (2554,0.5199738144874573) (3676,0.5183825492858887) (3706,0.4987543821334839) (556,0.4909384250640869) (1232,0.475146621465683) (1480,0.4662880301475525) (392,0.4639161229133606) (2158,0.4586418569087982) (1573,0.45684707164764404) (2132,0.456637442111969) (1982,0.45351642370224) (2454,0.4522593319416046) (3936,0.45010748505592346) (735,0.44606077671051025) (3344,0.4434322714805603) (3725,0.4406013786792755) (3627,0.43312162160873413) (3550,0.43120378255844116) (2232,0.43061280250549316)
18: (2687,0.621799886226654) (2124,0.5284160375595093) (1125,0.5090808868408203) (708,0.4969819188117981) (1057,0.49639415740966797) (2110,0.43883877992630005) (2141,0.4183482229709625)* (1848,0.40238523483276367) (531,0.4001583755016327)* (2297,0.39610111713409424) (107,0.3950345516204834) (2245,0.39444419741630554) (2870,0.39214810729026794) (1290,0.3886944055557251) (492,0.37921011447906494) (2453,0.35824155807495117) (1633,0.3575451076030731) (2747,0.35478439927101135) (1019,0.3536509573459625) (1271,0.35144129395484924)*
19: (2901,0.5419299006462097) (2294,0.5365093350410461) (2294,0.5365093350410461) (2124,0.5229941606521606) (1476,0.48759979009628296) (1125,0.4722408950328827) (3840,0.4611155688762665) (2747,0.4594992399215698) (3701,0.4548031687736511) (3660,0.4535357356071472) (2762,0.44710564613342285)* (3692,0.4409412741661072) (3694,0.43905162811279297) (1327,0.43779513239860535) (2756,0.43264687061309814) (3837,0.42487832903862) (2459,0.42296722531318665) (3285,0.4095011353492737) (735,0.4073578417301178) (799,0.4073016047477722)
21: (3884,0.5984770655632019) (1261,0.5919698476791382) (2901,0.5917981863021851) (735,0.5883088707923889) (1990,0.5788630247116089) (3941,0.5702887177467346) (2625,0.5657809972763062) (3785,0.5631610155105591) (611,0.5581600666046143) (2700,0.5557696223258972)* (671,0.5555710792541504) (1976,0.5486702919006348) (3596,0.5470526814460754) (3918,0.5459643006324768) (3617,0.5407822132110596) (3327,0.5404571294784546) (3786,0.5400460958480835) (255,0.5388885736465454) (1570,0.5374062657356262) (3913,0.5309644937515259)
22: (1476,0.7056744694709778) (2687,0.601647138595581) (3692,0.5678658485412598) (2294,0.555661141872406) (2294,0.555661141872406) (663,0.5451056957244873) (2700,0.5442963242530823) (1405,0.5363258719444275) (735,0.5353418588638306) (3693,0.5241710543632507) (2765,0.5217904448509216) (2449,0.5120347142219543) (2124,0.5063334703445435) (372,0.4865454435348511) (2901,0.48512664437294006) (999,0.48437127470970154) (2959,0.4799530506134033) (23,0.4767248332500458) (1261,0.4725547134876251)* (1297,0.4705832898616791)
23: (2901,0.6609727144241333)* (3701,0.5949783325195312) (1982,0.5790581703186035) (3000,0.5535103678703308)* (1476,0.5504601001739502) (2989,0.5481215715408325) (2687,0.542905330657959) (2124,0.5313290953636169) (735,0.5278708934783936) (1480,0.5159291625022888) (2158,0.5139894485473633) (1261,0.504840612411499) (2459,0.5047865509986877) (3706,0.49885377287864685) (2762,0.47804564237594604)* (2294,0.47340115904808044) (2294,0.47340115904808044) (2571,0.47275835275650024) (1297,0.4724767506122589) (3693,0.47123757004737854)
24: (1057,0.7802926898002625)* (492,0.7258116602897644) (1125,0.7172737121582031) (708,0.6959311366081238) (2687,0.6856383681297302) (1186,0.6661271452903748) (2110,0.6275617480278015) (1643,0.6260077953338623) (2124,0.6065824031829834) (272,0.5669265389442444) (1096,0.565351128578186) (2294,0.5633187294006348) (2294,0.5633187294006348) (1290,0.5502837896347046) (45,0.5369890928268433) (1124,0.5283892154693604) (921,0.5266124606132507) (2297,0.5148261785507202) (1132,0.5102899074554443) (994,0.504449725151062)
25: (2762,0.5397725105285645) (2858,0.5130729675292969) (3785,0.5124422907829285) (648,0.5031505823135376) (3617,0.4972681403160095) (2571,0.4855421781539917) (3752,0.48417890071868896) (2605,0.4830649495124817) (2628,0.47593697905540466)* (2687,0.4751436114311218) (2694,0.47161397337913513) (3793,0.4714798331260681)* (260,0.4712371528148651)* (442,0.4674777388572693) (3511,0.4669812321662903) (3177,0.46282607316970825) (3285,0.4628050625324249) (3646,0.46263229846954346) (1389,0.4562910795211792) (3889,0.45617884397506714)
26: (708,0.711005449295044) (276,0.643956184387207) (289,0.6232002973556519) (2297,0.6035332679748535) (261,0.5845836997032166) (3436,0.5723669528961182) (1057,0.5718358755111694) (372,0.5641775131225586) (237,0.5560902953147888) (2497,0.5489102005958557) (1593,0.5459078550338745) (140,0.5458210706710815) (2124,0.5452736616134644) (1476,0.5437376499176025) (492,0.5436511635780334) (1125,0.5317713022232056) (1498,0.5296324491500854) (305,0.5251880884170532) (2432,0.5203258395195007) (1888,0.5188155770301819)
27: (1238,0.715432345867157) (915,0.618061900138855) (921,0.6112114787101746) (1162,0.5557923913002014) (1281,0.5373809933662415) (2303,0.5310551524162292) (492,0.5236726999282837) (928,0.5191224813461304) (2132,0.5128619074821472) (1963,0.5100727081298828) (3201,0.5087496042251587) (1934,0.5081890225410461) (2239,0.4976438283920288) (946,0.4919922649860382) (1945,0.4861047565937042) (1104,0.48451513051986694) (906,0.4799608290195465) (1423,0.47610077261924744) (3134,0.47407421469688416) (824,0.4696190655231476)
28: (492,0.6966526508331299) (915,0.6051529049873352) (1057,0.5467450618743896) (1186,0.5228230357170105) (1131,0.5014428496360779) (272,0.4978410303592682) (921,0.494191437959671) (2687,0.4832877516746521) (1633,0.472382515668869) (994,0.46944108605384827) (1963,0.45121219754219055) (1238,0.4496636986732483) (1643,0.44812989234924316) (2303,0.44311055541038513) (1096,0.43262091279029846) (1945,0.4254629611968994) (1132,0.4248846769332886) (261,0.4243302345275879) (1103,0.4230610132217407) (1934,0.42190444469451904)
29: (2947,0.49680113792419434) (1242,0.4949260950088501) (2524,0.47099533677101135) (1125,0.4623205065727234) (2901,0.4560695290565491) (2287,0.45605969429016113) (3066,0.4553668200969696) (3782,0.4468652009963989) (2948,0.4456999897956848) (3806,0.44411686062812805) (2949,0.44251665472984314)* (1291,0.4403773248195648) (3701,0.4368284344673157) (2554,0.4366917312145233) (2028,0.4365880787372589) (3654,0.4361768066883087) (3704,0.4330468475818634) (2307,0.43273091316223145) (2747,0.4323294758796692) (2989,0.43174731731414795)
30: (1428,0.8909158110618591) (2678,0.8640604019165039) (3794,0.8350166082382202) (3858,0.8259860873222351) (3556,0.8208691477775574) (3787,0.8158850073814392) (3289,0.8138730525970459) (3718,0.8039680123329163) (2337,0.8005434274673462) (3756,0.7983027696609497) (3568,0.7901642322540283) (2360,0.7836750745773315) (2607,0.7713195085525513) (3538,0.7700909972190857) (2762,0.7651095390319824)* (2894,0.7631931900978088) (3318,0.7585440278053284) (1574,0.7572994232177734) (306,0.7537052035331726) (3822,0.7525263428688049)
31: (915,0.7807718515396118) (2687,0.6792760491371155) (2110,0.6545706987380981) (921,0.6005699038505554) (2870,0.5879547595977783) (492,0.5600588917732239) (2124,0.55428147315979) (1022,0.5427585244178772) (708,0.5131946206092834) (1057,0.5046336650848389) (1934,0.45715999603271484) (946,0.4467342793941498) (1963,0.44492825865745544) (3061,0.4445776641368866) (1238,0.4422282576560974) (2946,0.4380437135696411) (928,0.4376009404659271) (906,0.4242824912071228) (1162,0.4191897213459015) (1290,0.41916221380233765)
32: (994,0.5237149000167847) (3618,0.5147035121917725) (3125,0.5146980285644531) (1057,0.5102202296257019) (1870,0.5072052478790283) (2687,0.5067898035049438) (1633,0.5067448616027832) (294,0.5040644407272339) (2607,0.503565788269043) (2197,0.49732011556625366) (3556,0.49494725465774536)* (2712,0.49379962682724) (3756,0.49085551500320435) (3145,0.48944467306137085) (2443,0.4878610670566559) (318,0.48628705739974976) (492,0.4849851131439209) (1535,0.4842902719974518) (3568,0.48065224289894104) (2337,0.48009827733039856)
33: (3015,0.40879446268081665) (2901,0.38632383942604065) (2202,0.3807562589645386) (2110,0.37504664063453674) (3706,0.3701722025871277) (3676,0.36880552768707275) (373,0.3644775152206421) (2132,0.35647469758987427) (1334,0.3559517562389374) (3847,0.35564354062080383) (488,0.3555176854133606) (1346,0.35496988892555237) (853,0.3546014130115509) (3075,0.351606547832489) (3550,0.350908100605011) (2939,0.3493433892726898) (528,0.348903626203537) (3445,0.34661900997161865) (1186,0.3453105390071869) (3344,0.3415682017803192)
34: (2687,0.7627931237220764) (2297,0.6853833794593811) (2124,0.6837160587310791) (372,0.6673882007598877) (1476,0.6518400311470032) (2294,0.6321709156036377) (2294,0.6321709156036377) (276,0.618049144744873) (1057,0.5993492007255554) (289,0.5787236094474792) (1125,0.578295886516571) (3436,0.5331401228904724) (2558,0.5306895971298218) (1593,0.5306212902069092) (2497,0.5254262089729309) (3466,0.5194242596626282) (3453,0.5160208344459534) (2506,0.5112631320953369) (45,0.5055273175239563) (3261,0.5018130540847778)
35: (492,0.6102716326713562) (1186,0.6055973172187805) (2132,0.5644382238388062) (1131,0.5423693060874939) (272,0.5282872319221497) (1057,0.5096514225006104) (921,0.5067607760429382) (1238,0.5002308487892151) (1132,0.478030800819397) (2065,0.4742611050605774) (3011,0.4613625705242157) (1096,0.4592822790145874) (1643,0.4557188153266907) (1125,0.449246883392334) (1423,0.4488086700439453) (3069,0.444830060005188) (1963,0.4411274790763855) (948,0.43756815791130066) (2110,0.43754351139068604) (1082,0.4293818771839142)
36: (1125,0.6947788596153259) (2110,0.6342513561248779) (492,0.6285381317138672) (1186,0.6066751480102539) (2124,0.5719484686851501) (1057,0.5258889198303223) (3040,0.49077826738357544) (1297,0.48717549443244934) (921,0.47996804118156433) (45,0.4788941442966461) (708,0.4782423675060272)* (2065,0.4685957431793213)* (915,0.4494199752807617) (1238,0.4395409822463989) (373,0.43787187337875366) (2870,0.4115659296512604) (187,0.40817737579345703) (372,0.40348753333091736) (261,0.39867162704467773) (3261,0.39678099751472473)
37: (2497,0.6003268361091614) (3436,0.5884166955947876) (276,0.5803866982460022) (140,0.5463567972183228) (3299,0.5445111989974976) (289,0.5368973612785339) (1353,0.5285965204238892) (1888,0.518342912197113) (2125,0.5147517919540405) (1489,0.5145106911659241) (691,0.5109226703643799) (74,0.506496787071228) (2558,0.5020043849945068) (3325,0.5008029937744141) (1398,0.5007773041725159) (2385,0.4998103976249695) (2154,0.49684879183769226) (378,0.490620493888855) (992,0.49037134647369385) (468,0.48501771688461304)
38: (2687,0.5874789953231812) (261,0.5812100768089294) (276,0.5574550628662109) (289,0.5427958965301514) (1057,0.523882269859314) (2297,0.5176656246185303) (2497,0.5099929571151733) (3436,0.5031634569168091) (2294,0.4990551471710205) (2294,0.4990551471710205) (492,0.48533108830451965) (2106,0.48038366436958313) (2125,0.4667404890060425) (2432,0.4640825688838959) (1593,0.46294474601745605) (2124,0.46275436878204346) (140,0.4569152593612671) (237,0.454397976398468) (1888,0.4537009000778198) (7,0.4524316191673279)
39: (2762,0.6296533346176147) (3752,0.6023094654083252) (2712,0.5944790840148926) (3285,0.5735877752304077) (2842,0.5645052194595337) (785,0.5549891591072083) (3174,0.5411866307258606) (3618,0.534858763217926) (2336,0.5314427614212036) (2707,0.5098580718040466) (3597,0.5050132870674133) (2706,0.5047155618667603) (2987,0.5032835006713867) (2622,0.5024115443229675) (3578,0.502252995967865)* (2694,0.5005775690078735) (3219,0.4976617097854614) (2710,0.4922504425048828) (3617,0.4893120229244232) (2396,0.4881763458251953)*
40: (1125,0.725675642490387) (2110,0.6727807521820068) (2870,0.6566020846366882) (1925,0.6453555226325989) (3368,0.6404385566711426) (1931,0.6335462331771851) (3365,0.5844892263412476) (2747,0.574055016040802) (2670,0.5624009370803833) (2554,0.554179847240448) (3600,0.5469099879264832) (3737,0.5431265830993652) (3035,0.5413302183151245) (2124,0.536090612411499) (1334,0.5298410654067993) (1945,0.526459813117981) (3367,0.5238619446754456) (960,0.5226980447769165) (1943,0.5215963125228882) (940,0.518826961517334)
41: (2687,0.8387266993522644) (708,0.7694567441940308) (261,0.7509550452232361) (2297,0.7211380004882812) (2124,0.6988686919212341) (2294,0.6823053359985352) (2294,0.6823053359985352) (1057,0.6724708676338196) (1125,0.6388570070266724) (1654,0.6245021224021912) (532,0.6209696531295776) (2979,0.6174641847610474) (2188,0.6159058809280396) (528,0.5778635740280151) (489,0.5745599269866943) (1022,0.567503035068512) (1848,0.5641000866889954) (2432,0.5597909688949585) (1271,0.5530887246131897) (3892,0.5516321659088135)
42: (2989,0.5167274475097656) (2528,0.4597774147987366) (2687,0.45132988691329956) (2009,0.43065863847732544) (2140,0.4252924919128418) (3701,0.41729462146759033) (1573,0.4116252064704895) (2571,0.398190975189209) (2533,0.39095550775527954)* (1527,0.39061468839645386) (2532,0.3898857533931732) (2531,0.3897813558578491) (2193,0.3869955241680145)* (3697,0.3842642903327942) (3153,0.3807579576969147) (3704,0.37783002853393555) (2450,0.3724558353424072) (2414,0.3719801902770996) (748,0.3714393973350525) (2115,0.3711484670639038)
43: (2687,0.7576195001602173) (3285,0.6340889930725098) (2690,0.6337050199508667) (2546,0.6247008442878723) (3157,0.6167680621147156) (2712,0.6158130168914795) (3510,0.6135228872299194) (2294,0.6130070686340332) (2294,0.6130070686340332) (2975,0.6120721101760864) (3578,0.6004678010940552) (3203,0.5876328945159912) (2694,0.5873913764953613) (223,0.5751791000366211) (3408,0.5667370557785034) (3408,0.5667370557785034) (2336,0.5654309988021851) (3752,0.5650520920753479) (2433,0.5636410713195801) (2492,0.5632506012916565)
44: (2687,0.9129006862640381) (2124,0.7672618627548218) (708,0.7081594467163086) (2294,0.6852498650550842) (2294,0.6852498650550842) (107,0.6544707417488098)* (1848,0.6201016902923584) (1654,0.6098408102989197) (2141,0.5880408883094788) (3466,0.555548906326294) (1057,0.5070902109146118) (1125,0.5048896074295044) (1019,0.49152320623397827) (3157,0.4836641252040863) (276,0.48278728127479553) (2110,0.4827718436717987) (2106,0.4755207598209381) (1713,0.47475725412368774) (261,0.46599456667900085) (3701,0.4592639207839966)
45: (915,0.6540648937225342)* (261,0.6410306096076965) (492,0.6141614317893982) (708,0.5877056121826172)* (1057,0.5506234765052795) (276,0.5483874082565308) (1125,0.544193685054779) (2687,0.5386537909507751) (2110,0.5138282179832458) (1096,0.5102589130401611) (948,0.5004185438156128) (2297,0.4964122772216797) (272,0.4925147294998169) (3546,0.49065127968788147) (1643,0.49017634987831116) (618,0.48881471157073975) (1593,0.48450571298599243) (1081,0.4758839011192322) (1131,0.4725959300994873) (921,0.4722423553466797)
46: (3017,1.130434274673462) (3837,1.0793461799621582) (2279,1.060576319694519) (1996,1.0514671802520752) (1976,1.0500773191452026)* (3840,1.0420479774475098) (1995,1.0204788446426392) (2513,1.002792239189148) (2148,0.9956132769584656) (177,0.9921869039535522) (2514,0.9655178189277649) (1323,0.9630217552185059) (2120,0.9594225287437439) (2121,0.9545076489448547) (3660,0.9536144137382507) (1330,0.9528737664222717) (532,0.9528418183326721) (1986,0.9468340873718262)* (2327,0.9462845921516418) (2901,0.9394067525863647)
47: (2132,0.7725870013237) (994,0.7449010610580444) (2687,0.7400217056274414) (921,0.6959476470947266) (2858,0.6835962533950806) (1057,0.6763168573379517) (1643,0.6731382608413696) (1633,0.672844409942627) (1132,0.6642165780067444) (492,0.6543072462081909) (1104,0.6422129273414612) (2762,0.6388503909111023) (306,0.6350133419036865) (593,0.6315016746520996) (2294,0.6185197830200195) (2294,0.6185197830200195) (261,0.6170877814292908) (2357,0.598462700843811) (1125,0.5958176255226135) (1945,0.584112823009491)
48: (1125,0.5289579629898071) (2687,0.5176575779914856) (915,0.46251922845840454) (318,0.452837198972702)* (921,0.44694754481315613) (2110,0.4391784071922302) (2870,0.43283575773239136) (1022,0.4287368953227997) (3035,0.4075646698474884) (527,0.40751805901527405)* (527,0.40751805901527405)* (2132,0.4059017300605774) (940,0.3985750675201416) (2294,0.39704206585884094) (2294,0.39704206585884094) (969,0.39019373059272766) (953,0.3857974112033844) (1573,0.37723249197006226) (1019,0.3748100996017456) (1931,0.37424203753471375)
49: (2132,0.6366827487945557) (373,0.6093863248825073) (1217,0.5868101119995117) (1480,0.5699020028114319) (319,0.5654553174972534) (45,0.561347246170044) (492,0.5592858195304871) (335,0.5515260696411133) (2571,0.5510722994804382) (1232,0.5495518445968628) (1186,0.5410853028297424) (648,0.5377817153930664) (1356,0.536815881729126)* (3281,0.5359359383583069) (392,0.5344053506851196) (2687,0.5281214714050293) (999,0.5269418358802795) (994,0.5266470313072205) (1291,0.5227095484733582) (260,0.5219113230705261)
50: (2687,1.0664459466934204) (3952,0.80762779712677) (3754,0.7493028044700623) (3646,0.7403153777122498) (3324,0.7361986637115479) (3826,0.7275117635726929) (2762,0.7235400676727295) (2294,0.71884685754776) (2294,0.71884685754776) (3936,0.7008534073829651) (3897,0.6966705918312073) (3484,0.6856886744499207) (261,0.6775099635124207) (3511,0.6768379211425781) (3185,0.6731266975402832) (832,0.6728508472442627) (3618,0.6726888418197632) (3453,0.6692796349525452) (3616,0.6652088761329651) (1480,0.6612774133682251)
51: (2858,0.5806435346603394) (2687,0.5612621903419495) (2718,0.5542862415313721) (3752,0.5332221984863281) (3515,0.5187385678291321) (3646,0.5154799818992615) (2762,0.5140654444694519) (2700,0.5098995566368103) (3790,0.5085570812225342) (3285,0.5080873966217041) (3511,0.5071454644203186) (3785,0.5014506578445435)* (3453,0.5002412796020508) (2188,0.4980652630329132) (3597,0.4969339072704315) (2712,0.4918576776981354) (3324,0.48606589436531067) (3219,0.48606517910957336) (3616,0.48546338081359863) (3566,0.48522213101387024)
52: (1476,0.7186247706413269) (1459,0.6978272795677185) (315,0.6629921793937683) (3257,0.6615332365036011) (1586,0.6483523845672607) (648,0.6457886695861816) (1488,0.6366328001022339) (2762,0.6352139115333557) (2811,0.6248078346252441) (2490,0.6237619519233704) (434,0.6169787049293518) (1049,0.6168615221977234) (3285,0.6157194375991821) (2571,0.6075878143310547) (2989,0.598135232925415) (2028,0.5979186296463013)* (3879,0.5951357483863831) (1917,0.5918028354644775) (494,0.5915370583534241) (3452,0.5886740684509277)
53: (1057,0.6552778482437134)* (488,0.5859074592590332) (373,0.5832160115242004) (2124,0.5664280652999878) (261,0.5517810583114624) (3281,0.5516687035560608) (532,0.5431361198425293)* (716,0.5414925217628479) (1910,0.5385498404502869) (183,0.5382685661315918) (528,0.5382137298583984) (1486,0.5307311415672302) (2110,0.5167260766029358) (1366,0.5154767632484436) (708,0.5120843052864075) (851,0.5090545415878296) (1125,0.5073503851890564) (1643,0.5059784650802612) (1563,0.4981631934642792) (394,0.49105367064476013)
54: (921,0.4754669964313507) (1125,0.417425274848938) (915,0.40220263600349426) (615,0.3991243243217468) (1238,0.38825833797454834) (3345,0.37710264325141907) (1226,0.36615005135536194) (3447,0.3567458689212799) (318,0.35396963357925415) (2779,0.3527325391769409) (2110,0.3470850884914398) (3814,0.34624558687210083) (2098,0.3414883613586426) (3233,0.33603572845458984) (920,0.3345787227153778) (1207,0.3324313163757324) (1899,0.3315478563308716) (1252,0.32915619015693665) (2962,0.3278425931930542) (492,0.3273389935493469)
